Index,Name,Type,HP
1,Bulbasaur,Grass,45
2,Ivysaur,Grass,60
3,Venusaur,Grass,80
4,Charmander,Fire,39
5,Charmeleon,Fire,58
6,Charizard,Fire,78
7,Squirtle,Water,44
8,Wartortle,Water,59
9,Blastoise,Water,79
10,Caterpie,Bug,45
11,Metapod,Bug,50
12,Butterfree,Bug,60
13,Weedle,Bug,40
14,Kakuna,Bug,45
15,Beedrill,Bug,65
16,Pidgey,Normal,40
17,Pidgeotto,Normal,63
18,Pidgeot,Normal,83
19,Rattata,Normal,30
20,Raticate,Normal,55
21,Spearow,Normal,40
22,Fearow,Normal,65
23,Ekans,Poison,35
24,Arbok,Poison,60
25,Pikachu,Electric,35
26,Raichu,Electric,60
27,Sandshrew,Ground,50
28,Sandslash,Ground,75
29,Nidoran♀,Poison,55
30,Nidorina,Poison,70
31,Nidoqueen,Poison,90
32,Nidoran♂,Poison,46
33,Nidorino,Poison,61
34,Nidoking,Poison,81
35,Clefairy,Fairy,70
36,Clefable,Fairy,95
37,Vulpix,Fire,38
38,Ninetales,Fire,73
39,Jigglypuff,Normal,115
40,Wigglytuff,Normal,140
41,Zubat,Poison,40
42,Golbat,Poison,75
43,Oddish,Grass,45
44,Gloom,Grass,60
45,Vileplume,Grass,75
46,Paras,Bug,35
47,Parasect,Bug,60
48,Venonat,Bug,60
49,Venomoth,Bug,70
50,Diglett,Ground,10
51,Dugtrio,Ground,35
52,Meowth,Normal,40
53,Persian,Normal,65
54,Psyduck,Water,50
55,Golduck,Water,80
56,Mankey,Fighting,40
57,Primeape,Fighting,65
58,Growlithe,Fire,55
59,Arcanine,Fire,90
60,Poliwag,Water,40
61,Poliwhirl,Water,65
62,Poliwrath,Water,90
63,Abra,Psychic,25
64,Kadabra,Psychic,40
65,Alakazam,Psychic,55
66,Machop,Fighting,70
67,Machoke,Fighting,80
68,Machamp,Fighting,90
69,Bellsprout,Grass,50
70,Weepinbell,Grass,65
71,Victreebel,Grass,80
72,Tentacool,Water,40
73,Tentacruel,Water,80
74,Geodude,Rock,40
75,Graveler,Rock,55
76,Golem,Rock,80
77,Ponyta,Fire,50
78,Rapidash,Fire,65
79,Slowpoke,Water,90
80,Slowbro,Water,95
81,Magnemite,Electric,25
82,Magneton,Electric,50
83,Farfetch'd,Normal,52
84,Doduo,Normal,35
85,Dodrio,Normal,60
86,Seel,Water,65
87,Dewgong,Water,90
88,Grimer,Poison,80
89,Muk,Poison,105
90,Shellder,Water,30
91,Cloyster,Water,50
92,Gastly,Ghost,30
93,Haunter,Ghost,45
94,Gengar,Ghost,60
95,Onix,Rock,35
96,Drowzee,Psychic,60
97,Hypno,Psychic,85
98,Krabby,Water,30
99,Kingler,Water,55
100,Voltorb,Electric,40
101,Electrode,Electric,60
102,Exeggcute,Grass,60
103,Exeggutor,Grass,95
104,Cubone,Ground,50
105,Marowak,Ground,60
106,Hitmonlee,Fighting,50
107,Hitmonchan,Fighting,50
108,Lickitung,Normal,90
109,Koffing,Poison,40
110,Weezing,Poison,65
111,Rhyhorn,Ground,80
112,Rhydon,Ground,105
113,Chansey,Normal,250
114,Tangela,Grass,65
115,Kangaskhan,Normal,105
116,Horsea,Water,30
117,Seadra,Water,55
118,Goldeen,Water,45
119,Seaking,Water,80
120,Staryu,Water,30
121,Starmie,Water,60
122,Mr. Mime,Psychic,40
123,Scyther,Bug,70
124,Jynx,Ice,65
125,Electabuzz,Electric,65
126,Magmar,Fire,65
127,Pinsir,Bug,65
128,Tauros,Normal,75
129,Magikarp,Water,20
130,Gyarados,Water,95
131,Lapras,Water,130
132,Ditto,Normal,48
133,Eevee,Normal,55
134,Vaporeon,Water,130
135,Jolteon,Electric,65
136,Flareon,Fire,65
137,Porygon,Normal,65
138,Omanyte,Rock,35
139,Omastar,Rock,70
140,Kabuto,Rock,30
141,Kabutops,Rock,60
142,Aerodactyl,Rock,80
143,Snorlax,Normal,160
144,Articuno,Ice,90
145,Zapdos,Electric,90
146,Moltres,Fire,90
147,Dratini,Dragon,41
148,Dragonair,Dragon,61
149,Dragonite,Dragon,91
150,Mewtwo,Psychic,106
151,Mew,Psychic,100
