Element,Super,Least
Normal,N/A,Rock;Steel
Fire,Grass;Ice;Bug;Steel,Fire;Water;Rock;Dragon
Water,Fire;Ground;Rock,Water;Grass;Dragon
Electric,Water;Flying,Electric;Grass;Dragon
Grass,Water;Ground;Rock,Fire;Grass;Poison;Flying;Bug;Dragon;Steel
Ice,Grass;Ground;Flying;Dragon,Fire;Water;Ice;Steel
Fighting,Normal;Ice;Rock;Dark;Steel,Poison;Flying;Psychic;Bug;Fairy
Poison,Grass;Fairy,Poison;Ground;Rock;Ghost
Ground,Fire;Electric;Poison;Rock;Steel,Grass;Bug
Flying,Grass;Fighting;Bug,Electric;Rock;Steel
Psychic,Fighting;Poison,Psychic;Steel
Bug,Grass;Psychic;Dark,Fire;Fighting;Poison;Flying;Ghost;Steel;Fairy
Rock,Fire;Ice;Flying;Bug,Fighting;Ground;Steel
Ghost,Psychic;Ghost,Dark
Dragon,Dragon,Steel
Dark,Psychic;Ghost,Fighting;Dark;Fairy
Steel,Ice;Rock;Fairy,Fire;Water;Electric;Steel
Fairy,Fighting;Dragon;Dark,Fire;Poison;Steel
